message,level,source,method,time
CCEDK uses global TX fee  currency pair not supported.now calling getTxFee(),WARNING,com.nubits.nubot.trading.wrappers.CcedkWrapper,getTxFee,Mar 09 2015 22:09:01.602 UTC
Computing USD prices with spread 0.9%  : sell @ 1.0065 buy @ 0.9935,INFO,com.nubits.nubot.tasks.strategy.PriceMonitorTriggerTask,initStrategy,Mar 09 2015 22:09:01.604 UTC
Converted price (using 1 BTC = 287.98 USD) : sell @ 0.00349503 BTC; buy @ 0.00344989 BTC,INFO,com.nubits.nubot.tasks.strategy.PriceMonitorTriggerTask,initStrategy,Mar 09 2015 22:09:01.605 UTC
Initializing strategy,INFO,com.nubits.nubot.tasks.strategy.StrategySecondaryPegTask,run,Mar 09 2015 22:09:01.607 UTC
Frozen funds already in balance (not proceeds) updated : 0.0 Currency{fiat=false  code=BTC  extendedName=Bitcoin},INFO,com.nubits.nubot.utils.FrozenBalancesManager,setBalanceAlreadyThere,Mar 09 2015 22:09:03.550 UTC
CCEDK uses global TX fee  currency pair not supported.now calling getTxFee(),WARNING,com.nubits.nubot.trading.wrappers.CcedkWrapper,getTxFee,Mar 09 2015 22:09:04.196 UTC
Strategy - Submit order : SELL side order :  SELL 1.5 NBT @ 0.00349503 BTC,WARNING,com.nubits.nubot.tasks.strategy.StrategySecondaryPegUtils,initOrders,Mar 09 2015 22:09:04.198 UTC
Strategy - SELL Response1 = 3187065,WARNING,com.nubits.nubot.tasks.strategy.StrategySecondaryPegUtils,initOrders,Mar 09 2015 22:09:04.632 UTC
Strategy - Submit order : SELL side order :  SELL 1.5 NBT @ 0.00349503 BTC,WARNING,com.nubits.nubot.tasks.strategy.StrategySecondaryPegUtils,initOrders,Mar 09 2015 22:09:10.087 UTC
Strategy : SELL Response2 = 3187068,WARNING,com.nubits.nubot.tasks.strategy.StrategySecondaryPegUtils,initOrders,Mar 09 2015 22:09:10.502 UTC
Initial walls placed,INFO,com.nubits.nubot.tasks.strategy.StrategySecondaryPegUtils,placeInitialWalls,Mar 09 2015 22:09:10.986 UTC

,INFO,com.nubits.nubot.tasks.SubmitLiquidityinfoTask,checkOrders,Mar 09 2015 22:11:03.709 UTC
javax.net.ssl.SSLHandshakeException: sun.security.validator.ValidatorException: PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,SEVERE,com.nubits.nubot.pricefeeds.CoinbasePriceFeed,getLastPrice,Mar 09 2015 22:12:01.292 UTC
Error while updating BTC price from coinbase,WARNING,com.nubits.nubot.pricefeeds.PriceFeedManager,getLastPrices,Mar 09 2015 22:12:01.293 UTC
Walls needs to be shifted,INFO,com.nubits.nubot.tasks.strategy.PriceMonitorTriggerTask,verifyPegPrices,Mar 09 2015 22:12:01.426 UTC
Sell Price 0.0034954  | Buy Price  0.00345025,INFO,com.nubits.nubot.tasks.strategy.PriceMonitorTriggerTask,computeNewPrices,Mar 09 2015 22:12:01.427 UTC
Strategy received a price change notification.,WARNING,com.nubits.nubot.tasks.strategy.StrategySecondaryPegTask,notifyPriceChanged,Mar 09 2015 22:12:01.428 UTC
Shift needed on ccedk
Reason : 3 minutes elapsed since last shift,WARNING,com.nubits.nubot.tasks.strategy.StrategySecondaryPegTask,notifyPriceChanged,Mar 09 2015 22:12:01.429 UTC
Immediately try to cancel all orders,INFO,com.nubits.nubot.tasks.strategy.StrategySecondaryPegUtils,shiftWalls,Mar 09 2015 22:12:01.430 UTC
Order 3187068 deleted succesfully,WARNING,com.nubits.nubot.trading.wrappers.CcedkWrapper,clearOrders,Mar 09 2015 22:12:02.343 UTC
Order 3187065 deleted succesfully,WARNING,com.nubits.nubot.trading.wrappers.CcedkWrapper,clearOrders,Mar 09 2015 22:12:03.389 UTC
CCEDK uses global TX fee  currency pair not supported.now calling getTxFee(),WARNING,com.nubits.nubot.trading.wrappers.CcedkWrapper,getTxFee,Mar 09 2015 22:12:06.423 UTC
Strategy - Submit order : SELL side order :  SELL 1.5 NBT @ 0.0034954 BTC,WARNING,com.nubits.nubot.tasks.strategy.StrategySecondaryPegUtils,initOrders,Mar 09 2015 22:12:06.425 UTC
Strategy - SELL Response1 = 3187098,WARNING,com.nubits.nubot.tasks.strategy.StrategySecondaryPegUtils,initOrders,Mar 09 2015 22:12:06.831 UTC
Strategy - Submit order : SELL side order :  SELL 1.5 NBT @ 0.0034954 BTC,WARNING,com.nubits.nubot.tasks.strategy.StrategySecondaryPegUtils,initOrders,Mar 09 2015 22:12:12.242 UTC
Strategy : SELL Response2 = 3187102,WARNING,com.nubits.nubot.tasks.strategy.StrategySecondaryPegUtils,initOrders,Mar 09 2015 22:12:12.639 UTC
Wall shift successful,INFO,com.nubits.nubot.tasks.strategy.StrategySecondaryPegTask,notifyPriceChanged,Mar 09 2015 22:12:19.040 UTC
javax.net.ssl.SSLHandshakeException: sun.security.validator.ValidatorException: PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,SEVERE,com.nubits.nubot.pricefeeds.CoinbasePriceFeed,getLastPrice,Mar 09 2015 22:12:19.125 UTC
Error while updating BTC price from coinbase,WARNING,com.nubits.nubot.pricefeeds.PriceFeedManager,getLastPrices,Mar 09 2015 22:12:19.126 UTC
Mon Mar 09 22:12:19 GMT 2015 blockchain BTC 287.95 USD 0.0034954 0.00345025 ,WARNING,com.nubits.nubot.tasks.strategy.PriceMonitorTriggerTask,computeNewPrices,Mar 09 2015 22:12:19.127 UTC

,INFO,com.nubits.nubot.tasks.SubmitLiquidityinfoTask,checkOrders,Mar 09 2015 22:13:13.591 UTC
javax.net.ssl.SSLHandshakeException: sun.security.validator.ValidatorException: PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,SEVERE,com.nubits.nubot.pricefeeds.CoinbasePriceFeed,getLastPrice,Mar 09 2015 22:15:01.338 UTC
Error while updating BTC price from coinbase,WARNING,com.nubits.nubot.pricefeeds.PriceFeedManager,getLastPrices,Mar 09 2015 22:15:01.339 UTC
Walls needs to be shifted,INFO,com.nubits.nubot.tasks.strategy.PriceMonitorTriggerTask,verifyPegPrices,Mar 09 2015 22:15:01.518 UTC
Sell Price 0.0034954  | Buy Price  0.00345025,INFO,com.nubits.nubot.tasks.strategy.PriceMonitorTriggerTask,computeNewPrices,Mar 09 2015 22:15:01.520 UTC
Strategy received a price change notification.,WARNING,com.nubits.nubot.tasks.strategy.StrategySecondaryPegTask,notifyPriceChanged,Mar 09 2015 22:15:01.521 UTC
Shift needed on ccedk
Reason : 3 minutes elapsed since last shift,WARNING,com.nubits.nubot.tasks.strategy.StrategySecondaryPegTask,notifyPriceChanged,Mar 09 2015 22:15:01.522 UTC
Immediately try to cancel all orders,INFO,com.nubits.nubot.tasks.strategy.StrategySecondaryPegUtils,shiftWalls,Mar 09 2015 22:15:01.523 UTC
Order 3187102 deleted succesfully,WARNING,com.nubits.nubot.trading.wrappers.CcedkWrapper,clearOrders,Mar 09 2015 22:15:02.377 UTC
Order 3187098 deleted succesfully,WARNING,com.nubits.nubot.trading.wrappers.CcedkWrapper,clearOrders,Mar 09 2015 22:15:03.612 UTC
CCEDK uses global TX fee  currency pair not supported.now calling getTxFee(),WARNING,com.nubits.nubot.trading.wrappers.CcedkWrapper,getTxFee,Mar 09 2015 22:15:04.983 UTC
Strategy - Submit order : SELL side order :  SELL 1.5 NBT @ 0.0034954 BTC,WARNING,com.nubits.nubot.tasks.strategy.StrategySecondaryPegUtils,initOrders,Mar 09 2015 22:15:04.985 UTC
Strategy - SELL Response1 = 3187124,WARNING,com.nubits.nubot.tasks.strategy.StrategySecondaryPegUtils,initOrders,Mar 09 2015 22:15:05.677 UTC
Strategy - Submit order : SELL side order :  SELL 1.5 NBT @ 0.0034954 BTC,WARNING,com.nubits.nubot.tasks.strategy.StrategySecondaryPegUtils,initOrders,Mar 09 2015 22:15:11.173 UTC
Strategy : SELL Response2 = 3187129,WARNING,com.nubits.nubot.tasks.strategy.StrategySecondaryPegUtils,initOrders,Mar 09 2015 22:15:11.910 UTC
Wall shift successful,INFO,com.nubits.nubot.tasks.strategy.StrategySecondaryPegTask,notifyPriceChanged,Mar 09 2015 22:15:17.911 UTC
javax.net.ssl.SSLHandshakeException: sun.security.validator.ValidatorException: PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,SEVERE,com.nubits.nubot.pricefeeds.CoinbasePriceFeed,getLastPrice,Mar 09 2015 22:15:17.991 UTC
Error while updating BTC price from coinbase,WARNING,com.nubits.nubot.pricefeeds.PriceFeedManager,getLastPrices,Mar 09 2015 22:15:17.991 UTC
Mon Mar 09 22:15:17 GMT 2015 blockchain BTC 287.95 USD 0.0034954 0.00345025 ,WARNING,com.nubits.nubot.tasks.strategy.PriceMonitorTriggerTask,computeNewPrices,Mar 09 2015 22:15:17.992 UTC

,INFO,com.nubits.nubot.tasks.SubmitLiquidityinfoTask,checkOrders,Mar 09 2015 22:15:23.846 UTC

,INFO,com.nubits.nubot.tasks.SubmitLiquidityinfoTask,checkOrders,Mar 09 2015 22:17:33.980 UTC
javax.net.ssl.SSLHandshakeException: sun.security.validator.ValidatorException: PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,SEVERE,com.nubits.nubot.pricefeeds.CoinbasePriceFeed,getLastPrice,Mar 09 2015 22:18:01.294 UTC
Error while updating BTC price from coinbase,WARNING,com.nubits.nubot.pricefeeds.PriceFeedManager,getLastPrices,Mar 09 2015 22:18:01.294 UTC
Walls needs to be shifted,INFO,com.nubits.nubot.tasks.strategy.PriceMonitorTriggerTask,verifyPegPrices,Mar 09 2015 22:18:01.418 UTC
Sell Price 0.00349637  | Buy Price  0.00345121,INFO,com.nubits.nubot.tasks.strategy.PriceMonitorTriggerTask,computeNewPrices,Mar 09 2015 22:18:01.419 UTC
Strategy received a price change notification.,WARNING,com.nubits.nubot.tasks.strategy.StrategySecondaryPegTask,notifyPriceChanged,Mar 09 2015 22:18:01.419 UTC
Shift needed on ccedk
Reason : 3 minutes elapsed since last shift,WARNING,com.nubits.nubot.tasks.strategy.StrategySecondaryPegTask,notifyPriceChanged,Mar 09 2015 22:18:01.419 UTC
Immediately try to cancel all orders,INFO,com.nubits.nubot.tasks.strategy.StrategySecondaryPegUtils,shiftWalls,Mar 09 2015 22:18:01.420 UTC
Order 3187129 deleted succesfully,WARNING,com.nubits.nubot.trading.wrappers.CcedkWrapper,clearOrders,Mar 09 2015 22:18:02.546 UTC
Order 3187124 deleted succesfully,WARNING,com.nubits.nubot.trading.wrappers.CcedkWrapper,clearOrders,Mar 09 2015 22:18:03.852 UTC
CCEDK uses global TX fee  currency pair not supported.now calling getTxFee(),WARNING,com.nubits.nubot.trading.wrappers.CcedkWrapper,getTxFee,Mar 09 2015 22:18:07.797 UTC
Strategy - Submit order : SELL side order :  SELL 1.5 NBT @ 0.00349637 BTC,WARNING,com.nubits.nubot.tasks.strategy.StrategySecondaryPegUtils,initOrders,Mar 09 2015 22:18:07.797 UTC
Strategy - SELL Response1 = 3187156,WARNING,com.nubits.nubot.tasks.strategy.StrategySecondaryPegUtils,initOrders,Mar 09 2015 22:18:08.198 UTC
Strategy - Submit order : SELL side order :  SELL 1.5 NBT @ 0.00349637 BTC,WARNING,com.nubits.nubot.tasks.strategy.StrategySecondaryPegUtils,initOrders,Mar 09 2015 22:18:13.625 UTC
Strategy : SELL Response2 = 3187162,WARNING,com.nubits.nubot.tasks.strategy.StrategySecondaryPegUtils,initOrders,Mar 09 2015 22:18:14.027 UTC
Wall shift successful,INFO,com.nubits.nubot.tasks.strategy.StrategySecondaryPegTask,notifyPriceChanged,Mar 09 2015 22:18:20.503 UTC
javax.net.ssl.SSLHandshakeException: sun.security.validator.ValidatorException: PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,SEVERE,com.nubits.nubot.pricefeeds.CoinbasePriceFeed,getLastPrice,Mar 09 2015 22:18:20.585 UTC
Error while updating BTC price from coinbase,WARNING,com.nubits.nubot.pricefeeds.PriceFeedManager,getLastPrices,Mar 09 2015 22:18:20.586 UTC
Mon Mar 09 22:18:20 GMT 2015 blockchain BTC 287.87 USD 0.00349637 0.00345121 ,WARNING,com.nubits.nubot.tasks.strategy.PriceMonitorTriggerTask,computeNewPrices,Mar 09 2015 22:18:20.587 UTC

,INFO,com.nubits.nubot.tasks.SubmitLiquidityinfoTask,checkOrders,Mar 09 2015 22:19:43.684 UTC
javax.net.ssl.SSLHandshakeException: sun.security.validator.ValidatorException: PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,SEVERE,com.nubits.nubot.pricefeeds.CoinbasePriceFeed,getLastPrice,Mar 09 2015 22:21:01.343 UTC
Error while updating BTC price from coinbase,WARNING,com.nubits.nubot.pricefeeds.PriceFeedManager,getLastPrices,Mar 09 2015 22:21:01.344 UTC
Walls needs to be shifted,INFO,com.nubits.nubot.tasks.strategy.PriceMonitorTriggerTask,verifyPegPrices,Mar 09 2015 22:21:01.508 UTC
Sell Price 0.00349528  | Buy Price  0.00345013,INFO,com.nubits.nubot.tasks.strategy.PriceMonitorTriggerTask,computeNewPrices,Mar 09 2015 22:21:01.509 UTC
Strategy received a price change notification.,WARNING,com.nubits.nubot.tasks.strategy.StrategySecondaryPegTask,notifyPriceChanged,Mar 09 2015 22:21:01.509 UTC
Shift needed on ccedk
Reason : 3 minutes elapsed since last shift,WARNING,com.nubits.nubot.tasks.strategy.StrategySecondaryPegTask,notifyPriceChanged,Mar 09 2015 22:21:01.509 UTC
Immediately try to cancel all orders,INFO,com.nubits.nubot.tasks.strategy.StrategySecondaryPegUtils,shiftWalls,Mar 09 2015 22:21:01.510 UTC
Order 3187162 deleted succesfully,WARNING,com.nubits.nubot.trading.wrappers.CcedkWrapper,clearOrders,Mar 09 2015 22:21:02.363 UTC
Order 3187156 deleted succesfully,WARNING,com.nubits.nubot.trading.wrappers.CcedkWrapper,clearOrders,Mar 09 2015 22:21:03.406 UTC
CCEDK uses global TX fee  currency pair not supported.now calling getTxFee(),WARNING,com.nubits.nubot.trading.wrappers.CcedkWrapper,getTxFee,Mar 09 2015 22:21:09.022 UTC
Strategy - Submit order : SELL side order :  SELL 1.5 NBT @ 0.00349528 BTC,WARNING,com.nubits.nubot.tasks.strategy.StrategySecondaryPegUtils,initOrders,Mar 09 2015 22:21:09.023 UTC
Strategy - SELL Response1 = 3187187,WARNING,com.nubits.nubot.tasks.strategy.StrategySecondaryPegUtils,initOrders,Mar 09 2015 22:21:09.461 UTC
Strategy - Submit order : SELL side order :  SELL 1.5 NBT @ 0.00349528 BTC,WARNING,com.nubits.nubot.tasks.strategy.StrategySecondaryPegUtils,initOrders,Mar 09 2015 22:21:14.867 UTC
Strategy : SELL Response2 = 3187195,WARNING,com.nubits.nubot.tasks.strategy.StrategySecondaryPegUtils,initOrders,Mar 09 2015 22:21:15.270 UTC
Wall shift successful,INFO,com.nubits.nubot.tasks.strategy.StrategySecondaryPegTask,notifyPriceChanged,Mar 09 2015 22:21:21.271 UTC
javax.net.ssl.SSLHandshakeException: sun.security.validator.ValidatorException: PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,SEVERE,com.nubits.nubot.pricefeeds.CoinbasePriceFeed,getLastPrice,Mar 09 2015 22:21:21.362 UTC
Error while updating BTC price from coinbase,WARNING,com.nubits.nubot.pricefeeds.PriceFeedManager,getLastPrices,Mar 09 2015 22:21:21.363 UTC
Mon Mar 09 22:21:21 GMT 2015 blockchain BTC 287.96 USD 0.00349528 0.00345013 ,WARNING,com.nubits.nubot.tasks.strategy.PriceMonitorTriggerTask,computeNewPrices,Mar 09 2015 22:21:21.363 UTC

,INFO,com.nubits.nubot.tasks.SubmitLiquidityinfoTask,checkOrders,Mar 09 2015 22:21:53.635 UTC
javax.net.ssl.SSLHandshakeException: sun.security.validator.ValidatorException: PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,SEVERE,com.nubits.nubot.pricefeeds.CoinbasePriceFeed,getLastPrice,Mar 09 2015 22:24:01.437 UTC
Error while updating BTC price from coinbase,WARNING,com.nubits.nubot.pricefeeds.PriceFeedManager,getLastPrices,Mar 09 2015 22:24:01.438 UTC
Walls needs to be shifted,INFO,com.nubits.nubot.tasks.strategy.PriceMonitorTriggerTask,verifyPegPrices,Mar 09 2015 22:24:01.574 UTC
Sell Price 0.00349516  | Buy Price  0.00345001,INFO,com.nubits.nubot.tasks.strategy.PriceMonitorTriggerTask,computeNewPrices,Mar 09 2015 22:24:01.576 UTC
Strategy received a price change notification.,WARNING,com.nubits.nubot.tasks.strategy.StrategySecondaryPegTask,notifyPriceChanged,Mar 09 2015 22:24:01.576 UTC
Shift needed on ccedk
Reason : 3 minutes elapsed since last shift,WARNING,com.nubits.nubot.tasks.strategy.StrategySecondaryPegTask,notifyPriceChanged,Mar 09 2015 22:24:01.577 UTC
Immediately try to cancel all orders,INFO,com.nubits.nubot.tasks.strategy.StrategySecondaryPegUtils,shiftWalls,Mar 09 2015 22:24:01.578 UTC
Liquidity is not being sent  a wall shift is happening. Will send on next execution.,WARNING,com.nubits.nubot.tasks.SubmitLiquidityinfoTask,checkOrders,Mar 09 2015 22:24:02.778 UTC
Order 3187195 deleted succesfully,WARNING,com.nubits.nubot.trading.wrappers.CcedkWrapper,clearOrders,Mar 09 2015 22:24:02.834 UTC
Order 3187187 deleted succesfully,WARNING,com.nubits.nubot.trading.wrappers.CcedkWrapper,clearOrders,Mar 09 2015 22:24:03.737 UTC
CCEDK uses global TX fee  currency pair not supported.now calling getTxFee(),WARNING,com.nubits.nubot.trading.wrappers.CcedkWrapper,getTxFee,Mar 09 2015 22:24:10.306 UTC
Strategy - Submit order : SELL side order :  SELL 1.5 NBT @ 0.00349516 BTC,WARNING,com.nubits.nubot.tasks.strategy.StrategySecondaryPegUtils,initOrders,Mar 09 2015 22:24:10.306 UTC
Strategy - SELL Response1 = 3187217,WARNING,com.nubits.nubot.tasks.strategy.StrategySecondaryPegUtils,initOrders,Mar 09 2015 22:24:10.697 UTC
Strategy - Submit order : SELL side order :  SELL 1.5 NBT @ 0.00349516 BTC,WARNING,com.nubits.nubot.tasks.strategy.StrategySecondaryPegUtils,initOrders,Mar 09 2015 22:24:16.117 UTC
Strategy : SELL Response2 = 3187225,WARNING,com.nubits.nubot.tasks.strategy.StrategySecondaryPegUtils,initOrders,Mar 09 2015 22:24:16.582 UTC
Wall shift successful,INFO,com.nubits.nubot.tasks.strategy.StrategySecondaryPegTask,notifyPriceChanged,Mar 09 2015 22:24:22.583 UTC
javax.net.ssl.SSLHandshakeException: sun.security.validator.ValidatorException: PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,SEVERE,com.nubits.nubot.pricefeeds.CoinbasePriceFeed,getLastPrice,Mar 09 2015 22:24:22.666 UTC
Error while updating BTC price from coinbase,WARNING,com.nubits.nubot.pricefeeds.PriceFeedManager,getLastPrices,Mar 09 2015 22:24:22.667 UTC
Mon Mar 09 22:24:22 GMT 2015 blockchain BTC 287.97 USD 0.00349516 0.00345001 ,WARNING,com.nubits.nubot.tasks.strategy.PriceMonitorTriggerTask,computeNewPrices,Mar 09 2015 22:24:22.669 UTC

,INFO,com.nubits.nubot.tasks.SubmitLiquidityinfoTask,checkOrders,Mar 09 2015 22:26:13.821 UTC
javax.net.ssl.SSLHandshakeException: sun.security.validator.ValidatorException: PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,SEVERE,com.nubits.nubot.pricefeeds.CoinbasePriceFeed,getLastPrice,Mar 09 2015 22:27:01.333 UTC
Error while updating BTC price from coinbase,WARNING,com.nubits.nubot.pricefeeds.PriceFeedManager,getLastPrices,Mar 09 2015 22:27:01.334 UTC
Walls needs to be shifted,INFO,com.nubits.nubot.tasks.strategy.PriceMonitorTriggerTask,verifyPegPrices,Mar 09 2015 22:27:01.525 UTC
Sell Price 0.00349637  | Buy Price  0.00345121,INFO,com.nubits.nubot.tasks.strategy.PriceMonitorTriggerTask,computeNewPrices,Mar 09 2015 22:27:01.526 UTC
Strategy received a price change notification.,WARNING,com.nubits.nubot.tasks.strategy.StrategySecondaryPegTask,notifyPriceChanged,Mar 09 2015 22:27:01.527 UTC
Shift needed on ccedk
Reason : 3 minutes elapsed since last shift,WARNING,com.nubits.nubot.tasks.strategy.StrategySecondaryPegTask,notifyPriceChanged,Mar 09 2015 22:27:01.527 UTC
Immediately try to cancel all orders,INFO,com.nubits.nubot.tasks.strategy.StrategySecondaryPegUtils,shiftWalls,Mar 09 2015 22:27:01.528 UTC
Order 3187225 deleted succesfully,WARNING,com.nubits.nubot.trading.wrappers.CcedkWrapper,clearOrders,Mar 09 2015 22:27:02.513 UTC
Order 3187217 deleted succesfully,WARNING,com.nubits.nubot.trading.wrappers.CcedkWrapper,clearOrders,Mar 09 2015 22:27:03.653 UTC
CCEDK uses global TX fee  currency pair not supported.now calling getTxFee(),WARNING,com.nubits.nubot.trading.wrappers.CcedkWrapper,getTxFee,Mar 09 2015 22:27:09.920 UTC
Strategy - Submit order : SELL side order :  SELL 1.5 NBT @ 0.00349637 BTC,WARNING,com.nubits.nubot.tasks.strategy.StrategySecondaryPegUtils,initOrders,Mar 09 2015 22:27:09.921 UTC
Strategy - SELL Response1 = 3187244,WARNING,com.nubits.nubot.tasks.strategy.StrategySecondaryPegUtils,initOrders,Mar 09 2015 22:27:10.332 UTC
Strategy - Submit order : SELL side order :  SELL 1.5 NBT @ 0.00349637 BTC,WARNING,com.nubits.nubot.tasks.strategy.StrategySecondaryPegUtils,initOrders,Mar 09 2015 22:27:15.825 UTC
Strategy : SELL Response2 = 3187255,WARNING,com.nubits.nubot.tasks.strategy.StrategySecondaryPegUtils,initOrders,Mar 09 2015 22:27:16.247 UTC
Wall shift successful,INFO,com.nubits.nubot.tasks.strategy.StrategySecondaryPegTask,notifyPriceChanged,Mar 09 2015 22:27:22.642 UTC
javax.net.ssl.SSLHandshakeException: sun.security.validator.ValidatorException: PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,SEVERE,com.nubits.nubot.pricefeeds.CoinbasePriceFeed,getLastPrice,Mar 09 2015 22:27:22.730 UTC
Error while updating BTC price from coinbase,WARNING,com.nubits.nubot.pricefeeds.PriceFeedManager,getLastPrices,Mar 09 2015 22:27:22.731 UTC
Mon Mar 09 22:27:22 GMT 2015 blockchain BTC 287.87 USD 0.00349637 0.00345121 ,WARNING,com.nubits.nubot.tasks.strategy.PriceMonitorTriggerTask,computeNewPrices,Mar 09 2015 22:27:22.731 UTC

,INFO,com.nubits.nubot.tasks.SubmitLiquidityinfoTask,checkOrders,Mar 09 2015 22:28:23.631 UTC
javax.net.ssl.SSLHandshakeException: sun.security.validator.ValidatorException: PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,SEVERE,com.nubits.nubot.pricefeeds.CoinbasePriceFeed,getLastPrice,Mar 09 2015 22:30:01.279 UTC
Error while updating BTC price from coinbase,WARNING,com.nubits.nubot.pricefeeds.PriceFeedManager,getLastPrices,Mar 09 2015 22:30:01.280 UTC
Walls needs to be shifted,INFO,com.nubits.nubot.tasks.strategy.PriceMonitorTriggerTask,verifyPegPrices,Mar 09 2015 22:30:01.404 UTC
Sell Price 0.00349637  | Buy Price  0.00345121,INFO,com.nubits.nubot.tasks.strategy.PriceMonitorTriggerTask,computeNewPrices,Mar 09 2015 22:30:01.405 UTC
Strategy received a price change notification.,WARNING,com.nubits.nubot.tasks.strategy.StrategySecondaryPegTask,notifyPriceChanged,Mar 09 2015 22:30:01.406 UTC
Shift needed on ccedk
Reason : 3 minutes elapsed since last shift,WARNING,com.nubits.nubot.tasks.strategy.StrategySecondaryPegTask,notifyPriceChanged,Mar 09 2015 22:30:01.407 UTC
